time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-01-14T23:55:52.055Z,deposit,USDC,20.00000000,,katana.katana,8ec28a50-f1a4-11f0-a16e-9702f9482eb1,0xabc08fdce8e62aef85662c8ee2b3e3c9d9530ec438dfc9e1d04351caa0876826,,,
2026-01-15T00:53:52.931Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,a9854dc0-f1ac-11f0-bb87-1b9139265999,0x5f919e980afa07ffa851b22af3864e33626fc24a9354876bc1cca796363ce743,mined,,
2026-01-15T00:54:19.077Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,b91adde0-f1ac-11f0-a70b-0d3eca35ec21,0xb7f090b104726a964d5048325e845e1816d25bae21b9b7f07d13972cd6489c66,mined,,
2026-01-15T00:57:56.014Z,deposit,USDC,2.00000000,,katana.katana,3a69bdd0-f1ad-11f0-a16e-9702f9482eb1,0xe2fb8c77a8bceb7b14eacbcc661c9c373e4dd9bbd258b366549586522f6f16d5,,,
2026-01-15T01:27:46.026Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,6556d420-f1b1-11f0-8b20-87ff4770f99b,0x027fcb6a0af22bf5801f438a0e1eb79560cc10cb71289a44ca4d6775b6ffbf0b,mined,,
2026-01-15T01:28:06.012Z,deposit,USDC,1.00000000,,katana.katana,714184b0-f1b1-11f0-a16e-9702f9482eb1,0x685da8a0f716c66e618bf1be224889473ac2a67e7c79ac4f473328eb4b436933,,,
2026-01-16T18:33:53.408Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,e8c4eb40-f309-11f0-a9da-e5d71b3a6df5,0x2690c8ee13cc259ae86f9055c3b2cb81766371f8acc2e116de283fc33675bfa0,mined,,
2026-01-28T14:34:30.040Z,deposit,USDC,1.00000000,,katana.katana,747f4450-fc56-11f0-a2f1-6defa538a655,0xd9a2a6c778f1b0bb6608811446810d55bcc353a0b1830173fdee352446439e9e,,,
2026-02-05T22:06:36.034Z,deposit,USDC,5.00000000,,katana.katana,f027a000-02de-11f1-9907-33d54b23b561,0xf026b6c4921fdf52d2edc44991049c24951f66175e9c5a28c3ef4909fbe366e0,,,
2026-02-05T22:06:46.622Z,withdrawal,USDC,5.00000000,0.05000000,katana.katana,f6764f60-02de-11f1-a3fa-2752b815352f,0xee8b5fef0307338d82aafb0eada9fd4664e54e9bb01041ad5b903ec754810a4d,mined,,
2026-02-05T23:48:42.018Z,deposit,USDC,5.00000000,,katana.katana,33869a00-02ed-11f1-9907-33d54b23b561,0x2bb5b92fa89b5b2cd9e508068b210c62e214ac84c0f55ae7caf9d48bf2c692ea,,,
2026-02-06T13:41:22.013Z,deposit,USDC,1.00000000,,stargate.ethereum,860101c0-0361-11f1-9907-33d54b23b561,0x5034e4ee62b1b974a7187daee89307357a0f44acebb0a56a14e4e2a838609915,,,
2026-02-06T16:01:28.022Z,deposit,USDC,2.00000000,,stargate.ethereum,18603050-0375-11f1-9907-33d54b23b561,0x275483d1393d0503100c1dd066ae726bc198d8b46097e286aa0d61762f37bbe8,,,
2026-02-06T19:02:00.021Z,deposit,USDC,5.00000000,,stargate.ethereum,50c01140-038e-11f1-9907-33d54b23b561,0xa678f55352100939d8285018dd6aa958c64234b4c52bab9503544b5f0c0dd933,,,
2026-02-06T19:03:18.012Z,deposit,USDC,2.00000000,,stargate.ethereum,7f3c8cb0-038e-11f1-9907-33d54b23b561,0x9c93be902cfee26fde46624b34f0bbe62ebc07aa84ec82e5dc971024ac859b7e,,,
2026-02-06T19:04:54.008Z,deposit,USDC,2.00000000,,stargate.ethereum,b8746070-038e-11f1-9907-33d54b23b561,0xeee51f7ce23ed8acf2a090162e7dddff4fac9ca853c269619545b086b1c58c03,,,
2026-02-06T21:01:58.019Z,deposit,USDC,0.10000000,,katana.katana,13176620-039f-11f1-9907-33d54b23b561,0x15065e5b4803f5462a52931ff695e8f3aed3b66818e917ff7834c37b5cabe24c,,,
2026-02-06T21:45:26.015Z,deposit,USDC,0.10000000,,stargate.ethereum,259401e0-03a5-11f1-9907-33d54b23b561,0x227f25d581880719e18c589b1c66d7cf582ee392ca9735e31d91d2cd7f7c2486,,,
2026-02-07T00:37:19.620Z,withdrawal,USDC,10.00000000,0.05000000,katana.katana,28f679e0-03bd-11f1-8cde-75cbde380c63,0x8f57bb3517adb9146c73f998481d703b0e49f6f828711e5e2f8dc0ed34fb318a,mined,,
2026-02-07T00:41:59.193Z,withdrawal,USDC,10.00000000,0.05000000,katana.katana,cf99a010-03bd-11f1-882e-f98ccad3c547,0xf9315f4272328352f1a87bf7aaeda044c0ac855612735eb06195377d8b0f7513,mined,,
2026-02-07T00:44:27.808Z,withdrawal,USDC,2.00000000,1.22118506,stargate.ethereum,282e5270-03be-11f1-ada7-998af4ec03fd,0x8d8595a2f0e6b7fe9434dbeb1aeb0ed55fcdddb607730ee02575ade006843474,mined,,
2026-02-07T00:49:00.033Z,deposit,USDC,0.19959900,,stargate.avalanche,ca71a0f0-03be-11f1-8b07-574a1a9abcf5,0x2d1667b46aa12e7f77ab1f3a94f19dbf8e512b6bbaf848077bd80fa11a558dcb,,,
2026-02-07T01:05:22.018Z,deposit,USDC,50.00000000,,katana.katana,13c0cd10-03c1-11f1-8b07-574a1a9abcf5,0x40692767231995ba485cb9ec01c4bd37fc7b16d0bc2622989d5c9f1c09f25ff3,,,
